start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Michigan Ave & 114th St,18.05873015873016,20.881111111111114,11.002777777777776,15,6,10,11,21
Tripp Ave & 15th St,50.204761904761909,54.960416666666667,47.27820512820513,8,13,18,3,21
Public Rack - Leader & Caldwell,24.027499999999996,39.80833333333333,8.2466666666666661,10,10,20,0,20
Public Rack - Laramie Ave & Belmont Ave,14.8775,12.6375,16.370833333333334,8,12,20,0,20
Grace & Cicero,14.0175,8.0925925925925917,18.865151515151517,9,11,14,6,20
Public Rack - Bryn Mawr Ave & Spaulding Ave,14.808333333333334,17.384722222222226,10.94375,12,8,20,0,20
Public Rack - Wolcott Ave & 61st St,13.339999999999998,16.288095238095242,11.752564102564103,7,13,20,0,20
Olive Harvey College,29.754166666666674,32.79270833333333,17.6,16,4,11,9,20
Rockwell St & 63rd St,31.100833333333334,13.886458333333335,99.958333333333329,16,4,20,0,20
Public Rack - Kenton Ave & Palmer St,15.751666666666667,14.372619047619049,18.969444444444445,14,6,20,0,20
Ewing Ave & 106th St,24.578333333333333,24.507407407407406,25.216666666666665,18,2,12,8,20
Altgeld Gardens,85.185,89.5,3.2,19,1,8,12,20
Public Rack - Western Ave & 92nd Pl,8.2973684210526315,7.5597222222222218,9.5619047619047617,12,7,19,0,19
Kilbourn Ave & 49th St,11.210526315789474,14.91111111111111,4.8666666666666663,12,7,3,16,19
Central Park Ave & 66th St,24.869298245614036,23.595370370370372,47.8,18,1,11,8,19
Public Rack - 56th St & Mulligan Ave,8.8692982456140346,9.553125,5.2222222222222223,16,3,19,0,19
Wood St & 84th St,39.21052631578948,30.163095238095242,64.543333333333337,14,5,4,15,19
Lockwood Ave and Grand Ave,16.296491228070174,19.072727272727271,12.479166666666666,11,8,9,10,19
Mulligan Ave & Archer Ave,16.390350877192986,23.672222222222224,13.029487179487178,6,13,6,13,19
Public Rack - Kostner Ave & Wrightwood Ave,6.1833333333333336,7.291666666666667,5.377272727272727,8,11,19,0,19
Public Rack - Lockwood Ave & Diversey Ave,8.3491228070175438,7.5875,8.9030303030303024,8,11,19,0,19
Burley Ave & 85th St,38.796491228070174,48.24666666666667,3.3583333333333334,15,4,4,15,19
Public Rack - Mobile Ave & Archer Ave,11.209259259259261,9.0916666666666668,15.444444444444445,12,6,18,0,18
Public Rack - Newcastle & Archer,7.7305555555555552,8.0627450980392155,2.0833333333333335,17,1,18,0,18
Rockwell St & Archer Ave,9.1333333333333329,6.6777777777777789,21.411111111111111,15,3,18,0,18
Lavergne Ave & Diversey Ave,16.55925925925926,20.669444444444441,14.504166666666666,6,12,10,8,18
S Aberdeen St & W 106th St,16.406481481481482,43.596666666666664,5.94871794871795,5,13,18,0,18
Public Rack - Houston Ave & 131st St,19.595370370370365,19.595370370370365,,18,0,18,0,18
Kildare Ave & Archer Ave,16.37962962962963,18.245833333333334,15.846428571428572,4,14,6,12,18
Mozart St & 55th St,23.116666666666667,35.414583333333333,12.185185185185185,8,9,9,8,17
Public Rack - St Louis & Lincoln,9.9372549019607845,8.4227272727272737,12.713888888888887,11,6,17,0,17
Public Rack - Evans Ave & 63rd St,19.505882352941175,15.745833333333334,20.66282051282051,4,13,17,0,17
Public Rack - Hamilton Ave & 95th St,10.495098039215687,11.594444444444443,7.8566666666666665,12,5,17,0,17
S Wentworth Ave & W 111th St,13.011764705882351,14.921794871794871,6.8041666666666663,13,4,17,0,17
Public Rack - Halsted St & 111th St,7.545098039215687,6.9476190476190469,7.9633333333333338,7,10,17,0,17
Ada St & 113th St,33.912745098039217,35.259722222222223,30.68,12,5,5,12,17
Public Rack - Lavergne Ave & Belle Plaine Ave,10.513725490196077,13.013333333333332,6.9428571428571422,10,7,17,0,17
Public Rack - Greenwood Ave & Lake Park Ave,12.110784313725491,12.259523809523811,12.006666666666666,7,10,17,0,17
Public Rack - Cicero Ave & Cortland St - midblock,8.5490196078431389,9.9277777777777771,6.9979166666666668,9,8,17,0,17
Public Rack - Karlov Ave & Kamerling Ave,16.733333333333334,19.489583333333332,14.283333333333333,8,9,17,0,17
Woodlawn & 103rd,6.2480392156862736,6.2480392156862736,,17,0,17,0,17
Public Rack - Overhill Ave & Touhy Ave,31.243137254901963,28.847435897435897,39.029166666666669,13,4,17,0,17
Public Rack - Avenue M & 132nd St,23.176470588235293,23.010416666666668,25.833333333333332,16,1,17,0,17
Public Rack - Woodlawn Ave & 63rd St S,8.0885416666666661,11.826190476190476,5.181481481481482,7,9,16,0,16
Public Rack - Karlov Ave & Lawrence Ave,13.521875,6.2648148148148142,22.852380952380951,9,7,16,0,16
Public Rack - St Louis Ave & Berteau Ave,10.0125,8.6,12.366666666666667,10,6,16,0,16
Public Rack - Minuteman Park,10.263541666666667,10.263541666666667,,16,0,16,0,16
Public Rack - Kildare Ave & North Ave,15.94375,15.5,16.091666666666669,4,12,16,0,16
Public Rack - Brandon Ave & 91st St,10.933333333333334,12.3,10.842222222222222,1,15,16,0,16
Public Rack - State ST & 42nd St,15.252083333333333,19.379166666666666,11.125,8,8,16,0,16
Western Ave & 81st St,52.806249999999991,64.0871794871795,3.9222222222222225,13,3,3,13,16
Public Rack - Neva Ave & Grand Ave,30.309375,6.9125,38.108333333333327,4,12,16,0,16
Public Rack - Peterson Ave & Milwaukee Ave,56.736458333333339,3.4878787878787878,173.8833333333333,11,5,16,0,16
Wabash Ave & 49th St,27.635416666666671,30.030000000000005,23.644444444444446,10,6,4,12,16
Public Rack - Western Ave & Jarvis Ave,9.4244444444444451,4.1,12.086666666666668,5,10,15,0,15
Public Rack - Prairie Ave & 47th St ,9.3122222222222231,5.5266666666666673,11.205,5,10,15,0,15
Public Rack - Langley Ave & 79th St,15.33111111111111,16.827777777777776,14.333333333333334,6,9,15,0,15
Public Rack - Hoyne Ave & 110th Pl,7.6066666666666665,11.85,6.0636363636363635,4,11,15,0,15
Public Rack - Talman Ave & Pershing Rd,11.574444444444444,2.3666666666666667,16.178333333333331,5,10,15,0,15
Public Rack - Kenton & Lawrence,14.257777777777779,10.488888888888889,16.770370370370372,6,9,15,0,15
Public Rack - Garfield Park Conservatory,13.621111111111111,11.758333333333333,14.862962962962964,6,9,15,0,15
Public Rack - Menard Ave & Grand Ave,10.75888888888889,11.811666666666666,8.6533333333333342,10,5,15,0,15
Public Rack - Melvina Ave & Montrose Ave,8.3466666666666658,8.01,8.5149999999999988,5,10,15,0,15
Public Rack - King Dr & 71st St,9.0044444444444434,20.646666666666665,3.1833333333333331,5,10,15,0,15
Public Rack - Christiana Ave & Bryn Mawr Ave,16.325555555555557,21.161111111111111,13.101851851851851,6,9,15,0,15
Plainfield & Irving Park,15.396666666666668,19.2,4.9375,11,4,15,0,15
Public Rack - 532 E 43rd St,8.8377777777777773,15.190476190476188,3.2791666666666668,7,8,15,0,15
Public Rack - Delphina & Foster,13.168888888888887,13.390740740740741,12.83611111111111,9,6,15,0,15
Public Rack - Ewing Ave & 101st St,13.423333333333336,8.90357142857143,76.7,14,1,15,0,15
Public Rack - California Ave & Ogden Ave,20.322222222222219,22.005555555555553,17.797222222222221,9,6,15,0,15
Public Rack - Halsted St & 63rd St,31.740000000000002,19.183333333333334,32.636904761904766,1,14,15,0,15
Public Rack - Elston Ave & Kenneth Ave,27.853571428571435,27.713888888888889,27.958333333333332,6,8,14,0,14
Public Rack - Central Ave & George St,9.6833333333333336,11.025,9.4597222222222221,2,12,14,0,14
Public Rack - Tripp Ave & North Ave,13.236904761904762,15.09047619047619,11.383333333333333,7,7,14,0,14
Kedzie Ave & 60th St,21.358333333333334,22.694871794871794,3.9833333333333334,13,1,0,14,14
La Villita Park (Albany/30th),13.328571428571427,13.328571428571427,,14,0,14,0,14
Public Rack - Cicero Ave & Altgeld St,8.8488095238095248,9.5380952380952362,8.15952380952381,7,7,14,0,14
Mayfield & Roosevelt Rd,15.003571428571428,16.415,11.475,10,4,14,0,14
Commercial Ave & 97th St,13.201190476190474,12.445833333333333,13.503333333333334,4,10,3,11,14
Public Rack - Central Park & Peterson,14.425000000000002,11.508333333333333,15.591666666666667,4,10,14,0,14
Public Rack - Forrestville Ave & 47th St,9.23452380952381,6.125,11.566666666666665,6,8,14,0,14
Western Ave & 62nd St,7.9702380952380958,6.77361111111111,15.15,12,2,14,0,14
Public Rack - Jeffrey Blvd & 71st St,5.1488095238095237,4.7958333333333334,5.29,4,10,14,0,14
Public Rack - Monticello & Lawrence,9.8392857142857135,7.0972222222222223,11.895833333333334,6,8,14,0,14
Public Rack - Laramie Ave & Fullerton Ave,21.141666666666666,5.666666666666667,27.331666666666667,4,10,14,0,14
Menard Ave & Division St,13.262820512820515,10.733333333333331,16.213888888888889,7,6,13,0,13
Public Rack - Cicero & 64th,18.9474358974359,17.102777777777778,41.083333333333336,12,1,13,0,13
Public Rack - Milwaukee Ave & Sunnyside Ave,9.4692307692307676,6.9433333333333334,11.047916666666667,5,8,13,0,13
Public Rack - Cottage Grove & 86th St,4.1371794871794867,1.4333333333333333,4.3625,1,12,13,0,13
Public Rack - Mulligan Ave & 56th St,9.155555555555555,9.5900000000000016,6.9833333333333334,10,2,12,0,12
Public Rack - Natoma Ave & Bryn Mawr Ave,10.933333333333334,13.566666666666666,5.666666666666667,8,4,12,0,12
Public Rack - Irving Park Rd & Parkside Ave,10.184722222222224,14.806666666666667,6.8833333333333337,5,7,12,0,12
Eggleston Ave & 92nd St,16.083333333333332,16.398484848484848,12.616666666666667,11,1,7,5,12
Public Rack - Wentworth Park,14.440277777777776,15.655,8.3666666666666671,10,2,12,0,12
Public Rack - Winona St & Elston Ave,18.040277777777774,19.863333333333333,16.738095238095237,5,7,12,0,12
Public Rack - Central Park & Bryn Mawr,10.247222222222224,9.9583333333333339,10.53611111111111,6,6,12,0,12
Public Rack - Lawrence Ave & Kimball Ave,12.37638888888889,8.3458333333333332,14.391666666666667,4,8,12,0,12
Public Rack - Peterson Park,21.145833333333332,17.661904761904761,26.023333333333333,7,5,12,0,12
Public Rack - Halsted St & 95th St - SW,5.1736111111111116,,5.1736111111111116,0,12,12,0,12
Wentworth Ave & 104th St,45.026388888888881,45.026388888888881,,12,0,3,9,12
Public Rack - Canfield & Victoria,19.4625,20.527083333333334,17.333333333333332,8,4,12,0,12
Public Rack - South Shore Dr & 71st St,19.868055555555557,23.5375,12.529166666666667,8,4,12,0,12
Public Rack - Kildare Ave & Washignton Blvd,13.22361111111111,14.290740740740743,10.02222222222222,9,3,12,0,12
Public Rack - Keystone Ave & North Ave,15.354166666666666,17.407407407407408,9.1944444444444446,9,3,12,0,12
Public Rack - Melvina Ave & Belmont Ave,13.125757575757577,12.457142857142857,14.295833333333333,7,4,11,0,11
Public Rack - Wood St & 103rd St,6.8015151515151517,7.0547619047619046,6.3583333333333334,7,4,11,0,11
Homan Ave & 26th St,23.395454545454545,26.15625,16.033333333333335,8,3,7,4,11
Public Rack - Ozark Ave & Addison St,5.7151515151515158,5.6907407407407407,5.825,9,2,11,0,11
Public Rack - Marquette Ave & 83rd St,11.057575757575759,18.472222222222221,8.2770833333333336,3,8,11,0,11
Public Rack - Eli Whitney Public School,7.1151515151515152,11.976666666666667,3.0638888888888887,5,6,11,0,11
Public Rack - Western Ave & 111th St - SW,10.234848484848486,6.2055555555555548,15.069999999999999,6,5,11,0,11
Public Rack - Linder Ave & Archer Ave,6.2212121212121207,6.3066666666666666,6.15,5,6,11,0,11
Public Rack - Pulaski Rd & Stevens Ave,8.9863636363636363,14.544444444444444,6.9020833333333336,3,8,11,0,11
Public Rack - Sayre Ave & 59th St,17.55,17.55,,11,0,11,0,11
Public Rack - Avers & Granville,9.384848484848483,6.083333333333333,10.622916666666667,3,8,11,0,11
Public Rack - Halsted St & 76th St,4.2818181818181822,0.71333333333333326,7.2555555555555555,5,6,11,0,11
Public Rack - Bell Ave & 95th St,2.9106060606060615,3.1883333333333335,0.13333333333333333,10,1,11,0,11
Public Rack - Central Park Ave & Fulton Blvd,31.498484848484846,41.635416666666657,4.4666666666666668,8,3,11,0,11
Public Rack - Stewart Ave & 123rd St,16.633333333333333,16.633333333333333,,11,0,11,0,11
Lamon Ave & 47th St,33.416666666666671,39.496296296296286,6.0583333333333336,9,2,5,6,11
Laramie Ave & Bloomingdale Ave,27.854545454545452,35.12083333333333,23.702380952380953,4,7,9,2,11
Public Rack - Irving Park Rd & Menard Ave,7.3149999999999995,8.0416666666666661,4.4083333333333332,8,2,10,0,10
Public Rack - Western Ave & 47th Pl,7.0966666666666658,7.7,7.0296296296296292,1,9,10,0,10
Public Rack - Milwaukee Ave & Warner Ave,17.525,10.625,19.25,2,8,10,0,10
Public Rack - Ewing Ave & 99th St,8.8433333333333337,0.18333333333333332,9.8055555555555536,1,9,10,0,10
Public Rack - Kedzie Ave & 63rd St,9.581666666666667,9.45277777777778,9.775,6,4,10,0,10
Public Rack - Chase Ave & Touhy Ave - NE,3.4250000000000003,2.505555555555556,3.8190476190476188,3,7,10,0,10
Public Rack - Kedvale Ave & Peterson Ave,16.331666666666663,26.972222222222221,11.77142857142857,3,7,10,0,10
Public Rack - Natoma Ave & 61st St,11.356666666666666,11.356666666666666,,10,0,10,0,10
Public Rack - Christiana Ave & Archer Ave,7.1850000000000005,7.0738095238095244,7.4444444444444438,7,3,10,0,10
Public Rack - Christiana Ave & Lawrence Ave,10.018333333333333,8.0633333333333344,11.973333333333333,5,5,10,0,10
Public Rack - Western Ave & 104th St - East,7.6316666666666659,6.2458333333333336,8.5555555555555536,4,6,10,0,10
Public Rack - Northwest Hwy & Bryn Mawr,7.6616666666666662,5.4880952380952381,12.733333333333333,7,3,10,0,10
Public Rack - Hamlin Ave & Grand Ave,9.7,12.47,6.9300000000000006,5,5,10,0,10
Public Rack - Pulaski Rd & Lake St,3.7800000000000002,4.15,3.6875,2,8,10,0,10
Public Rack - Lafayette Ave & 87th St - NW,10.405,,10.405,0,10,10,0,10
Public Rack - Touhy Ave & Oconto Ave,13.651666666666667,12.594444444444441,23.166666666666668,9,1,10,0,10
Public Rack - Wood St & 47th St,15.01,7.6,19.95,4,6,10,0,10
Public Rack - Kedzie Ave & 58th St,10.548333333333334,4.4933333333333341,16.603333333333335,5,5,10,0,10
Public Rack - Oketo Ave & Belmont Ave,10.860000000000001,3.43,18.290000000000003,5,5,10,0,10
Public Rack - Lowe Park,18.941666666666666,0.033333333333333333,21.042592592592595,1,9,10,0,10
Public Rack - Parkside & 63rd,9.1783333333333346,8.0370370370370363,19.45,9,1,10,0,10
Archer Ave & 49th St,15.318333333333332,20.933333333333334,2.2166666666666668,7,3,6,4,10
Racine Ave & 65th St,43.125,57.69444444444445,21.270833333333332,6,4,4,6,10
Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),54.541666666666664,54.541666666666664,,10,0,0,10,10
Public Rack - Western Ave & 106th St - East,6.3537037037037036,6.947916666666667,1.6,8,1,9,0,9
Public Rack - Maplewood Ave & 47th St,5.5666666666666664,8.725,4.6642857142857137,2,7,9,0,9
Public Rack - Division St & Christiana Ave,9.7814814814814817,,9.7814814814814817,0,9,9,0,9
Public Rack - Lamon Ave & Archer Ave,8.9629629629629619,3.6416666666666666,10.483333333333333,2,7,9,0,9
Public Rack - Cicero Ave & North Ave,7.4870370370370365,9.86111111111111,6.3,3,6,9,0,9
Public Rack - Kedzie Ave & Walnut St,14.916666666666668,14.275,15.43,4,5,9,0,9
Public Rack - Neenah & Archer,11.82037037037037,13.139583333333333,1.2666666666666666,8,1,9,0,9
Public Rack - Narragansett Ave & Fullerton Ave,7.6333333333333337,8.3027777777777771,6.2944444444444434,6,3,9,0,9
Public Rack - Lemont Ave & Keating Ave,17.661111111111111,7.975,20.428571428571431,2,7,9,0,9
Public Rack - Mont Clare Ave & Higgins Ave,17.003703703703703,16.416666666666668,17.7375,5,4,9,0,9
Public Rack - Peterson Ave & Drake Ave,13.407407407407408,21.233333333333334,12.429166666666667,1,8,9,0,9
Public Rack - Irving Park Rd & Austin Ave,8.3833333333333329,9.1133333333333333,7.4708333333333332,5,4,9,0,9
Public Rack - Austin & Higgins,19.207407407407409,12.55,22.536111111111111,3,6,9,0,9
Public Rack - Michigan Ave & 107th St,11.227777777777778,12.577777777777778,10.552777777777777,3,6,9,0,9
Public Rack - Normandy Ave & Archer Ave,8.1444444444444439,5.1583333333333323,14.116666666666667,6,3,9,0,9
Indiana Ave & 133rd St,32.925925925925917,36.439583333333324,4.8166666666666664,8,1,9,0,9
S Michigan Ave & E 118th St,6.5592592592592593,7.0357142857142865,4.8916666666666666,7,2,9,0,9
Public Rack - Central & Prescott,29.407407407407408,32.587500000000006,3.9666666666666668,8,1,9,0,9
Homan Ave & 77th St,54.155555555555551,54.155555555555551,,9,0,0,9,9
Public Rack - Hamlin Ave & Madison St,19.464583333333334,19.488888888888891,19.45,3,5,8,0,8
Public Rack - Chopin Park,4.4020833333333336,4.3472222222222223,4.5666666666666664,6,2,8,0,8
Public Rack - Racine Ave & 74th St,9.23125,4.583333333333333,9.8952380952380938,1,7,8,0,8
Public Rack - Spaulding Ave & Foster Ave,7.65625,0.1,8.7357142857142858,1,7,8,0,8
Public Rack - Mackinaw Ave & 85th St,14.952083333333333,14.952083333333333,,8,0,8,0,8
Public Rack - Whipple St & 63rd St,9.85,7.3555555555555552,11.346666666666666,3,5,8,0,8
Michigan Ave & 105th St,15.356249999999998,15.356249999999998,,8,0,6,2,8
Public Rack - Central & Berteau,11.295833333333333,6.8583333333333334,15.733333333333333,4,4,8,0,8
Kedzie Ave & 38th St,49.352083333333333,64.336111111111123,4.4,6,2,3,5,8
Wabash Ave & 59th St,12.641666666666667,8.51388888888889,25.025,6,2,1,7,8
State St & 123rd St,27.645833333333332,27.645833333333332,,8,0,6,2,8
Public Rack - Sawyer Ave & Chicago Ave,8.6,17.816666666666666,7.2833333333333323,1,7,8,0,8
Public Rack - Foster Ave & Drake Ave,20.747916666666665,27.98,8.6944444444444446,5,3,8,0,8
Public Rack - N Narragansett Ave & Grand Ave,13.722916666666666,10.854166666666666,16.591666666666665,4,4,8,0,8
Public Rack - Bryn Mawr Ave & Milwaukee Ave,8.8708333333333336,4.9733333333333327,15.366666666666667,5,3,8,0,8
Public Rack - Halsted St & 80th St,0.73125,0.64285714285714279,1.35,7,1,8,0,8
Glenlake Ave & Pulaski Rd,79.902083333333337,262.84166666666664,18.922222222222224,2,6,0,8,8
Public Rack - Ewing Ave & 107th St,17.34375,17.34375,,8,0,8,0,8
Public Rack - Pulaski Rd & 65th St,11.868749999999999,,11.868749999999999,0,8,8,0,8
Public Rack - Bernard St & Foster Ave,5.0928571428571425,7.2055555555555548,3.5083333333333333,3,4,7,0,7
Public Rack - Talman Ave & 51st St,8.9904761904761887,3.0333333333333332,11.373333333333335,2,5,7,0,7
Eberhart Ave & 131st St,25.740476190476191,28.644444444444446,8.3166666666666664,6,1,5,2,7
Public Rack - Laflin St &51st ST,12.511904761904761,16.366666666666667,10.97,2,5,7,0,7
Public Rack - Kedzie Ave & 54th St - SW,2.4690476190476196,1.8416666666666666,6.2333333333333334,6,1,7,0,7
Public Rack - Kostner Ave & North Ave,9.1285714285714281,,9.1285714285714281,0,7,7,0,7
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,10.466666666666667,14.466666666666667,7.4666666666666668,3,4,7,0,7
Public Rack - California Ave & Touhy Ave - SW,7.6047619047619044,7.4333333333333336,7.6333333333333337,1,6,7,0,7
Public Rack - Kedzie Ave & 54th St - SE,12.661904761904761,13.01,11.791666666666666,5,2,7,0,7
Public Rack - S Menard & W 63rd,7.1547619047619042,5.375,17.833333333333332,6,1,7,0,7
Public Rack - S. Kilpatrick and W. 79th,11.847619047619048,13.130555555555556,4.15,6,1,7,0,7
Public Rack - Harding Ave & 47th St,23.007142857142856,23.858333333333334,21.87222222222222,4,3,7,0,7
Public Rack - California Ave & Pershing Rd,8.5166666666666675,0.25,9.8944444444444439,1,6,7,0,7
Public Rack - Francisco Ave & Touhy Ave,3.8785714285714277,0.4,4.458333333333333,1,6,7,0,7
Public Rack - Neva & Foster,12.052380952380952,15.166666666666666,10.806666666666667,2,5,7,0,7
Public Rack - Eberhart Ave & 61st St,14.47857142857143,10.333333333333334,20.005555555555556,4,3,7,0,7
Public Rack - Kedzie & 103rd St - W,1.373809523809524,1.373809523809524,,7,0,7,0,7
Public Rack - Milwaukee Ave & Waveland Ave,12.545238095238094,0.016666666666666666,14.633333333333333,1,6,7,0,7
Public Rack - Avenue J & 112th St,30.997619047619043,30.997619047619043,,7,0,7,0,7
Public Rack - King Dr & Oakwood Blvd,20.207142857142856,33.30416666666666,2.7444444444444445,4,3,7,0,7
Public Rack - Sayer & Northwest Hwy,10.190476190476192,14.35,7.0708333333333337,3,4,7,0,7
Public Rack - Pratt Ave & Odell Ave,36.121428571428559,47.766666666666659,7.0083333333333337,5,2,7,0,7
Public Rack - Laflin St & 51st St,9.4690476190476183,8.155555555555555,10.454166666666667,3,4,7,0,7
Public Rack - Homan Ave & 62nd Pl,12.354761904761904,12.354761904761904,,7,0,7,0,7
Public Rack - Avenue J & 106th St,21.292857142857144,17.716666666666665,30.233333333333334,5,2,7,0,7
Public Rack - Michigan Ave & 96th St,12.780952380952382,11.486666666666668,16.016666666666666,5,2,7,0,7
Public Rack - Lawndale Ave & Polk St,6.0472222222222216,,6.0472222222222216,0,6,6,0,6
Public Rack - Austin Ave & Wellington Ave,6.2138888888888886,9.7666666666666675,5.503333333333333,1,5,6,0,6
Public Rack - Pulaski Rd & 51st Rd,9.0388888888888879,10.825,8.1458333333333339,2,4,6,0,6
Public Rack - Central Park Ave & Fillmore St,6.5527777777777771,10.216666666666667,4.7208333333333332,2,4,6,0,6
Public Rack - Michele Clark Magnet High School,12.213888888888887,13.922222222222221,10.505555555555555,3,3,6,0,6
Public Rack - Linder Ave & Belmont Ave,8.5777777777777775,11.104166666666666,3.525,4,2,6,0,6
Public Rack - Austin Ave & Roscoe St,9.8444444444444432,21.766666666666666,3.8833333333333333,2,4,6,0,6
Public Rack - Damen Ave & 47th St,8.7777777777777768,7.6166666666666663,9.01,1,5,6,0,6
Public Rack - Robert Fulton Elementary School,9.5694444444444464,13.2625,2.1833333333333331,4,2,6,0,6
Public Rack - Cicero Ave & Wellington Ave,7.7138888888888886,5.416666666666667,12.308333333333334,4,2,6,0,6
Public Rack - Meade Ave & Archer Ave,9.1583333333333332,11.5875,4.3,4,2,6,0,6
Public Rack - Nina Ave & Avondale Ave,10.986111111111111,,10.986111111111111,0,6,6,0,6
Public Rack - Kimbark Ave & 67th St,16.919444444444444,16.919444444444444,,6,0,6,0,6
Public Rack - Hiawatha Ave & Minnehaha Ave,17.694444444444443,24.466666666666665,14.308333333333334,2,4,6,0,6
Public Rack - Parkside & Elston,9.325,11.977777777777778,6.6722222222222225,3,3,6,0,6
Public Rack - Laramie Ave & Warwick Ave,13.4,17.8875,4.425,4,2,6,0,6
Public Rack - Clyde Ave & 87th St,10.941666666666666,10.941666666666666,,6,0,6,0,6
Public Rack - Kedvale Ave & 63rd St E,13.608333333333336,,13.608333333333336,0,6,6,0,6
Public Rack - Homan Ave & 26th St,9.06388888888889,9.3777777777777764,8.75,3,3,6,0,6
Public Rack - Norwood Park,9.4833333333333325,9.07,11.55,5,1,6,0,6
Public Rack - Fullerton Ave & Lavergne Ave,10.202777777777778,15.925,7.3416666666666668,2,4,6,0,6
Public Rack - Richmond St & Thorndale Ave,12.788888888888888,23.683333333333334,1.8944444444444444,3,3,6,0,6
Public Rack - Jeffery Blvd & 83rd St,8.2138888888888886,17.266666666666666,6.4033333333333342,1,5,6,0,6
Public Rack - Irving Park Rd & Melvina Ave,15.683333333333334,18.513333333333332,1.5333333333333334,5,1,6,0,6
Public Rack - Emerald Ave & 43rd St,19.016666666666666,14.416666666666666,21.316666666666666,2,4,6,0,6
Public Rack - Avers Ave & Ogden Ave,20.6,12.933333333333334,24.433333333333334,2,4,6,0,6
Public Rack - Buffalo Ave & 89th St,8.6916666666666664,15.983333333333333,7.2333333333333334,1,5,6,0,6
Kildare & Chicago Ave,11.461111111111112,3.575,27.233333333333334,4,2,6,0,6
Public Rack - Morgan St & 95th St,4.791666666666667,,4.791666666666667,0,6,6,0,6
Public Rack - Mozart Elementary School,19.222222222222221,19.216666666666665,19.227777777777774,3,3,6,0,6
Public Rack - Kedzie Ave & 61st Pl W,16.961111111111112,10.238888888888887,23.683333333333334,3,3,6,0,6
Lexington & California Ave,17.816666666666666,17.286666666666669,20.466666666666665,5,1,4,2,6
Public Rack - State St & 47th st,9.05,7.1166666666666663,9.5333333333333332,1,4,5,0,5
Public Rack - Kedzie Ave & Pershing Rd,9.2866666666666671,0.28333333333333333,11.5375,1,4,5,0,5
Public Rack - Cicero & Rosemont,20.096666666666668,8.9416666666666664,27.533333333333335,2,3,5,0,5
Public Rack - Central Ave & North Ave,6.1933333333333334,2.3666666666666667,7.15,1,4,5,0,5
Public Rack - Normal Ave & 72nd St,13.31,16.258333333333333,1.5166666666666666,4,1,5,0,5
Public Rack - Mulligan & Northwest Hwy,19.386666666666663,8.65,22.070833333333333,1,4,5,0,5
Public Rack - The Montessori School of Englewood,8.7333333333333325,7.325,14.366666666666667,4,1,5,0,5
Public Rack - Central Ave & Corcoran Pl,3.2800000000000002,3.2800000000000002,,5,0,5,0,5
Public Rack - Buffalo Ave & 133rd St,30.740000000000002,30.740000000000002,,5,0,5,0,5
Public Rack - Chappel Ave & 71st St,13.143333333333334,4.3375,48.366666666666667,4,1,5,0,5
Public Rack - Rockwell & 111th St,3.4266666666666672,8.2166666666666668,0.23333333333333334,2,3,5,0,5
Public Rack - California Ave & Touhy Ave - midblock,3.1633333333333336,13.616666666666667,0.55,1,4,5,0,5
Public Rack - Linder & 51st,6.15,8.8833333333333329,2.05,3,2,5,0,5
Public Rack - Richard Daley College,10.666666666666666,4.6958333333333337,34.55,4,1,5,0,5
Public Rack - Vincennes Ave & 95th Pl,2.7666666666666666,5.5916666666666668,0.8833333333333333,2,3,5,0,5
Nagle Ave & Belmont Ave,14.416666666666666,11.53888888888889,18.733333333333334,3,2,5,0,5
Public Rack - Montrose Ave & Lavergne Ave,7.7733333333333325,6.8277777777777775,9.1916666666666664,3,2,5,0,5
Public Rack - Harlem & Palatine,28.040000000000003,34.758333333333333,1.1666666666666667,4,1,5,0,5
Public Rack - Peterson Ave & Bernard Ave,7.9300000000000006,,7.9300000000000006,0,5,5,0,5
Public Rack - Northwest Hwy & Neva Ave,24.236666666666665,11.025,33.044444444444444,2,3,5,0,5
Oconto Ave & Belmont Ave,11.386666666666667,12.372222222222224,9.9083333333333332,3,2,3,2,5
Public Rack - Baltimore Ave & 133rd St,43.02,64.894444444444446,10.208333333333334,3,2,5,0,5
Public Rack - Western Ave & 118th St,20.706666666666667,19.308333333333334,21.638888888888889,2,3,5,0,5
South Chicago Ave & Elliot Ave,17.563333333333333,17.158333333333335,17.833333333333332,2,3,3,2,5
Public Rack - Avers Ave & Archer Ave,8.625,7.833333333333333,9.4166666666666661,2,2,4,0,4
Public Rack - Komensky Ave & 63rd St,7.5625,7.55,7.575,2,2,4,0,4
Public Rack - Homan Ave & Lake St,7.3375,,7.3375,0,4,4,0,4
Market Days Scooter Corral,8.6541666666666668,4.9083333333333332,12.4,2,2,4,0,4
Public Rack - Kedzie Ave & 64th St - SW,12.504166666666666,14.605555555555556,6.2,3,1,4,0,4
Public Rack - Central Park Ave & Ogden Ave,9.8291666666666675,,9.8291666666666675,0,4,4,0,4
Public Rack - Linder & Elston,3.35,2.3444444444444446,6.3666666666666663,3,1,4,0,4
Public Rack - Odell & Talcott,30.445833333333333,38.405555555555559,6.5666666666666664,3,1,4,0,4
