start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Public Rack - Kedvale Ave & 63rd St W,10.633000000000001,17.510714285714286,7.958333333333333,14,36,50,0,50
Public Rack - Penn Elementary School / KIPP Ascend Middle School,17.213333333333331,24.86538461538461,14.524774774774775,13,37,50,0,50
Cottage Grove Ave & 78th St,50.635714285714279,85.520666666666656,14.297222222222221,25,24,15,34,49
Lavergne Ave & Division St,15.789455782312924,19.953472222222224,11.792,24,25,44,5,49
Kenton Ave & Madison St,28.620068027210881,45.223188405797096,13.932692307692308,23,26,11,38,49
Orange & Addison,25.111904761904764,26.000387596899223,18.744444444444444,43,6,49,0,49
Public Rack - Milwaukee Ave & School St,11.468707482993198,9.4323529411764682,12.550520833333334,17,32,49,0,49
Public Rack - Western Ave & 96th St,9.9462585034013582,11.1,9.8437037037037012,4,45,49,0,49
St. Louis & 71st St,36.673958333333331,38.475185185185182,9.6555555555555568,45,3,11,37,48
Lockwood Ave & Grand Ave,21.12638888888889,30.031410256410254,10.602272727272728,26,22,22,26,48
Public Rack - Halsted St & 95th St - SE,4.7978723404255312,4.0523809523809522,4.9283333333333337,7,40,47,0,47
Public Rack - Sawyer Ave & Lawrence Ave,10.493617021276597,9.3677083333333329,11.074731182795698,16,31,47,0,47
Hamlin Ave & 62nd Pl,19.608865248226948,19.874637681159417,7.3833333333333337,46,1,47,0,47
Mozart St & Jackson Blvd,20.107092198581562,19.299333333333337,21.025,25,22,46,1,47
Weekend Night Parking Area D,8.9474637681159415,9.4877192982456151,8.5672839506172842,19,27,46,0,46
Pulaski Rd & 21st St,8.0050724637681157,7.8494791666666668,8.3607142857142858,32,14,46,0,46
Marquette Ave & 89th St,30.675362318840577,33.840909090909093,22.639743589743588,33,13,18,28,46
Kedzie Ave & 73rd St,23.536594202898552,21.196,26.323015873015873,25,21,12,34,46
Public Rack - Laramine Ave & Winnemac Ave,17.206884057971017,12.532051282051281,19.048484848484851,13,33,46,0,46
Springfield Ave & 80th St,33.303260869565214,35.640350877192986,22.202083333333334,38,8,5,41,46
Public Rack - Central Ave & Pensacola Ave,7.6574074074074074,6.6858974358974352,8.0520833333333339,13,32,45,0,45
Cicero Ave & Flournoy St,14.864074074074075,15.40769230769231,14.643229166666668,13,32,24,21,45
Long Ave & Diversey Ave,16.017777777777777,21.1036231884058,10.700757575757574,23,22,27,18,45
Central Park Ave & Douglas Blvd,17.544814814814814,21.836666666666662,8.9611111111111121,30,15,39,6,45
Public Rack - Lawndale Ave & 23rd St,10.214444444444444,10.881531531531531,7.1291666666666664,37,8,45,0,45
