day_of_week,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
1,20.3389608401459,27.67167435931411,14.041980985220123,256522,298715,165795,389442,555237
2,15.331116092639661,23.302542918561244,11.862862883830557,168245,386694,186659,368280,554939
3,14.3484174551476,20.772766097035152,11.912462596573743,160045,422087,199989,382143,582132
4,14.882763154549616,21.582651825718738,12.15761162892932,181974,447390,215919,413445,629364
5,14.572958357431931,21.002274157043953,11.870417799141563,179092,426058,209768,395382,605150
6,16.241780562919025,23.390780201648127,12.171363827072479,219392,385325,208628,396089,604717
7,20.361742632967882,27.227018912707216,14.026284325754874,319644,346375,200533,465486,666019
